# Live2D Animator Motion Data
$fps=30

$fadein=1000

$fadeout=1000

ALL_RO=0,-1.25,-3.25,-5.12,-6.47,-7,-6.24,-4.21,-1.28,2.2,5.8,9.28,12.21,14.24,15,10.17,2.45,-4.76,-9.97,-12,-11.55,-10.42,-8.89,-7.1,-5.25,-3.41,-1.68,-0.22,0.96,1.72,2,1.9,1.66,1.33,0.95,0.55,0.16,-0.21,-0.52,-0.78,-0.94,-1,-0.76,-0.36,-0.09,0
MAIN_X=0,2.68,6.97,10.98,13.87,15,11.69,3.67,-7,-17.67,-25.69,-29,-29.03,-29.01,-28.86,-28.54,-28,-23.38,-13.54,-1.86,9.41,18.39,24.08,26,25.54,24.35,22.7,20.69,18.5,16.21,13.87,11.65,9.53,7.64,6,4.3,3.02,2.07,1.36,0.85,0.49,0.26,0.11,0.04,0.01,0
MAIN_Y=30,19.27,2.11,-13.92,-25.49,-30,-25.49,-14.55,0,14.55,25.49,30,25.57,17.89,9.71,2.17,-4,-10.2,-14.48,-17.17,-18.76,-19.58,-19.92,-20,-18.39,-14.36,-8.9,-2.51,4.12,10.67,16.86,22.08,26.28,29,30,30,30,30,30,30,30,30,30,30,30,30
FACE_X=0,-3.22,-8.37,-13.18,-16.65,-18,-14.47,-5.89,4.59,14.81,23.02,28.23,30,30,30,30,30,30,30,30,30,30,29.96,29.84,29.64,29.36,28.99,28.53,27.97,27.32,26.57,25.72,24.77,23.71,22.54,21.28,19.89,18.38,16.75,15,12.9,10.44,7.69,4.9,2.31,0
FACE_Y=30,21.42,7.69,-5.14,-14.39,-18,-14.47,-5.89,4.59,14.81,23.02,28.23,30,30,30,30,30,30,30,30,30,30,29.87,29.48,28.88,28.1,27.18,26.12,24.96,23.75,22.5,21.25,20.04,18.88,17.82,16.9,16.12,15.52,15.13,15,16.13,18.86,22.5,26.14,28.87,30
EYE_BLOW=0,-2.21,-7.57,-14.12,-20.51,-25.64,-28.9,-30,-26.06,-17.57,-6.97,4.03,14.08,22.4,27.93,30,29.94,29.78,29.51,29.15,28.68,28.13,27.5,26.79,26,25.14,24.2,23.22,22.16,21.06,19.91,18.73,17.5,16.22,14.92,13.59,12.25,10.9,9.53,8.16,6.79,5.39,4.03,2.65,1.32,0
EYE_BLINK=-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-14.24,14.24,30,28.07,23.23,16.68,9.01,1.05,-6.8,-14.24,-20.49,-25.54,-28.8,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30
TEAR=0,0,0,0,0,0,0,0,0,0.75,2.58,5,7.42,9.25,10,10,10,10,10,10,10.4,11.47,13.08,15.1,17.33,19.71,22.04,24.22,26.14,27.76,28.98,29.74,30,-30,-29.4,-27.79,-25.31,-22.2,-18.74,-15,-11.26,-7.8,-4.69,-2.21,-0.6,0
HAIR_FF=0,3.87,10.22,14.58,16,8.67,-3.06,-14.01,-21.92,-25,-20.87,-10.84,2.5,15.84,25.87,30,26.06,17.57,6.97,-4.03,-14.08,-22.4,-27.93,-30,-29.43,-27.83,-25.35,-22.16,-18.47,-14.39,-10.2,-5.92,-1.76,2.23,5.78,8.93,11.51,13.4,14.6,15,13.87,11.14,7.5,3.86,1.13,0
HAIR_FL=0,-3.87,-10.22,-14.58,-16,-9.69,1.64,11.13,17,22.17,25.69,28.01,29.31,29.87,30,26.06,17.57,6.97,-4.03,-14.08,-22.4,-27.93,-30,-29.36,-27.54,-24.73,-21.12,-16.93,-12.31,-7.56,-2.71,2.01,6.52,10.56,14.12,17.04,19.18,20.54,21,19.67,16.37,12.22,8,4.34,1.61,0
